Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     21.06     0.00        1     0.00     0.00  board_texture::dup(void)
  0.00     21.06     0.00        1     0.00     0.00  exit
  0.00     21.06     0.00        1     0.00    10.02  fclose
  0.00     21.06     0.00        1     0.00     0.00  fflush
  0.00     21.06     0.00        1     0.00     0.00  output::flush(void)
  0.00     21.06     0.00        1     0.00    10.00  fopen
  0.00     21.06     0.00        1     0.00     0.04  fprintf
  0.00     21.06     0.00        1     0.00     0.00  fstat
  0.00     21.06     0.00        1     0.00     0.34  generate(void)
  0.00     21.06     0.00        1     0.00     0.00  getpagesize
  0.00     21.06     0.00        1     0.00     0.02  poly::inormal(void)
  0.00     21.06     0.00        1     0.00     0.00  ioctl
  0.00     21.06     0.00        1     0.00     0.00  isatty
  0.00     21.06     0.00        1     0.00     0.00  localeconv
  0.00     21.06     0.00        1     0.00     0.00  point::mag2(void)
  0.00     21.06     0.00        1     0.00     0.00  point::mag(void)
  0.00     21.06     0.00        1     0.00 12189.99  main
  0.00     21.06     0.00        1     0.00     0.00  profil
  0.00     21.06     0.00        1     0.00    10.02  point::ref(int)
  0.00     21.06     0.00        1     0.00     0.00  strcat
  0.00     21.06     0.00        1     0.00     0.00  strcpy
  0.00     21.06     0.00        1     0.00     0.01  point::transform(xform &)
  0.00     21.06     0.00        1     0.00     0.00  board_texture::tune_texture(model &)
  0.00     21.06     0.00        1     0.00     0.00  point::unitize(void)
  0.00     21.06     0.00        1     0.00     0.00  write

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) for 0.07% of 14.50 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     84.1    0.00   12.19                 start [1]
                0.00   12.19       1/1           main [2]
                0.00    0.00       1/2           on_exit [91]
                0.00    0.00       1/1           exit [151]
-----------------------------------------------
                0.00   12.19       1/1           start [1]
[2]     84.1    0.00   12.19       1         main [2]
                0.50   11.69       1/1           render(object *, char *, int, int, int) [3]
                0.00    0.00       1/1           generate(void) [88]
                0.00    0.00       2/2           atoi [142]
-----------------------------------------------
                0.50   11.69       1/1           main [2]
[3]     84.1    0.50   11.69       1         render(object *, char *, int, int, int) [3]
                1.61    9.66    7500/7500        trace(ray &, model &, int) <cycle 1> [5]
                0.05    0.08    2500/2500        ppm_output::putpixel(int, int, point &) [30]
                0.07    0.00    7500/7500        point::operator*(float) [48]
                0.07    0.00   22500/615843      xform::rowmult(int, float *) [10]
                0.03    0.03    2500/2512        frandom [53]
                0.01    0.04    7500/12055       point::mag(void) [43]
                0.02    0.00    7500/12055       point::operator*=(float) [56]
                0.00    0.01       1/1           ppm_output::ppm_output(char *, int, int) [69]
                0.00    0.01       1/1           point::ref(int) [72]
                0.00    0.00       3/48582       object::next(void) [41]
                0.00    0.00       1/16194       object::next(void) [75]
                0.00    0.00      50/50          ppm_output::flushrow(int) [114]
                0.00    0.00       4/4           object::tune_texture(model &) [135]
                0.00    0.00       2/2           strcmp [143]
                0.00    0.00       1/2           xform::xform(xform_types, float) [141]
                0.00    0.00       1/1           output::flush(void) [153]
-----------------------------------------------
[4]     77.7    1.61        9.66    7500+22625   <cycle 1 as a whole>	[4]
                0.61        8.41   16195             trace(ray &, model &, int) <cycle 1> [5]
                0.94        1.22    8695             fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
                0.06        0.03    5235             board_texture::value(point &, point &, point &, model &, int) <cycle 1> [40]
-----------------------------------------------
                                8695             fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
                1.61    9.66    7500/7500        render(object *, char *, int, int, int) [3]
[5]     62.2    0.61    8.41   16195         trace(ray &, model &, int) <cycle 1> [5]
                1.10    3.59   48579/48579       sphere::intersect(ray, intersection &) [6]
                0.94    2.47   16193/16193       poly::intersect(ray, intersection &) [8]
                0.12    0.00    4555/4555        ray::at(float) [32]
                0.10    0.00    4140/4140        ray::at(float) [37]
                0.08    0.00   48579/48582       object::next(void) [41]
                0.01    0.00    5235/5235        object::get_texture(void) [79]
                0.01    0.00   16193/16194       object::next(void) [75]
                0.00    0.00    3460/3460        object::get_texture(void) [113]
                                5235             board_texture::value(point &, point &, point &, model &, int) <cycle 1> [40]
                                3460             fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
-----------------------------------------------
                1.10    3.59   48579/48579       trace(ray &, model &, int) <cycle 1> [5]
[6]     32.3    1.10    3.59   48579         sphere::intersect(ray, intersection &) [6]
                1.24    1.81   48579/64772       ray::transform(xform &) [7]
                0.21    0.00   97158/100618      point::mag2(void) [24]
                0.11    0.00   48579/48579       point::operator*(point &) [34]
                0.03    0.04    3460/3460        point::operator-(point &) [49]
                0.06    0.00    3460/3460        point::operator+(point &) [52]
                0.03    0.00   10380/615843      xform::rowmult(int, float *) [10]
                0.03    0.00    3460/6920        point::operator*(float) [54]
                0.01    0.01    3460/3460        point::unit(void) [68]
                0.00    0.01    6920/6920        point::operator[](int) [77]
                0.00    0.00    6920/6920        point::d(void) [111]
-----------------------------------------------
                0.41    0.60   16193/64772       poly::intersect(ray, intersection &) [8]
                1.24    1.81   48579/64772       sphere::intersect(ray, intersection &) [6]
[7]     28.0    1.65    2.42   64772         ray::transform(xform &) [7]
                1.68    0.00  582948/615843      xform::rowmult(int, float *) [10]
                0.48    0.00   64772/64772       point::operator-(void) [15]
                0.25    0.00   64772/69327       point::operator+=(point &) [20]
-----------------------------------------------
                0.94    2.47   16193/16193       trace(ray &, model &, int) <cycle 1> [5]
[8]     23.5    0.94    2.47   16193         poly::intersect(ray, intersection &) [8]
                0.56    0.76    9768/9768        poly::contains(point &) [11]
                0.41    0.60   16193/64772       ray::transform(xform &) [7]
                0.05    0.05   44560/215358      point::operator[](int) [14]
                0.03    0.00   44560/215358      point::d(void) [29]
-----------------------------------------------
                                3460             trace(ray &, model &, int) <cycle 1> [5]
                                5235             board_texture::value(point &, point &, point &, model &, int) <cycle 1> [40]
[9]     14.9    0.94    1.22    8695         fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
                0.26    0.17   12835/12835       point::unit(void) [16]
                0.06    0.05    4555/4555        point::unit(void) [36]
                0.03    0.06    4555/4555        point::operator-(point &) [38]
                0.03    0.06    4140/4140        point::operator-(point &) [39]
                0.09    0.00   17390/21530       point::operator+=(point &) [35]
                0.08    0.00    5235/5235        point::operator*(float) [44]
                0.06    0.00    7496/7496        point::operator*(float) [51]
                0.03    0.03    8695/21530       point::mag(void) [28]
                0.06    0.00    8695/21530       point::operator*=(float) [27]
                0.04    0.00    4555/4555        point::operator-(void) [58]
                0.04    0.00    3460/3460        point::operator-(void) [59]
                0.04    0.00    4140/12835       point::operator-(void) [31]
                0.03    0.00    3460/6920        point::operator*(float) [54]
                0.02    0.00    5235/5236        point::operator-(void) [65]
                0.00    0.00    8695/8695        point::contract(void) [108]
                                8695             trace(ray &, model &, int) <cycle 1> [5]
-----------------------------------------------
                0.00    0.00       3/615843      poly::inormal(void) [94]
                0.00    0.00       3/615843      point::transform(xform &) [98]
                0.00    0.00       9/615843      sphere::complete(void) [92]
                0.03    0.00   10380/615843      sphere::intersect(ray, intersection &) [6]
                0.07    0.00   22500/615843      render(object *, char *, int, int, int) [3]
                1.68    0.00  582948/615843      ray::transform(xform &) [7]
[10]    12.3    1.78    0.00  615843         xform::rowmult(int, float *) [10]
-----------------------------------------------
                0.56    0.76    9768/9768        poly::intersect(ray, intersection &) [8]
[11]     9.1    0.56    0.76    9768         poly::contains(point &) [11]
                0.19    0.17  160328/215358      point::operator[](int) [14]
                0.16    0.15  109468/109468      poly::get(int) [19]
                0.10    0.00  160328/215358      point::d(void) [29]
-----------------------------------------------
                                                 <spontaneous>
[12]     5.3    0.77    0.00                 sqrt [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     5.0    0.72    0.00                 sincos [13]
-----------------------------------------------
                0.01    0.01   10470/215358      board_texture::value(point &, point &, point &, model &, int) <cycle 1> [40]
                0.05    0.05   44560/215358      poly::intersect(ray, intersection &) [8]
                0.19    0.17  160328/215358      poly::contains(point &) [11]
[14]     3.3    0.25    0.23  215358         point::operator[](int) [14]
                0.23    0.00  215358/215358      point::ref(int) [23]
-----------------------------------------------
                0.48    0.00   64772/64772       ray::transform(xform &) [7]
[15]     3.3    0.48    0.00   64772         point::operator-(void) [15]
-----------------------------------------------
                0.26    0.17   12835/12835       fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[16]     2.9    0.26    0.17   12835         point::unit(void) [16]
                0.04    0.04   12835/21530       point::mag(void) [28]
                0.08    0.00   12835/21530       point::operator*=(float) [27]
-----------------------------------------------
                0.00    0.00       1/17478       fclose [71]
                0.00    0.00      15/17478       morecore [87]
                0.10    0.27   17462/17478       __gnu_compiled_c [18]
[17]     2.5    0.10    0.27   17478         free [17]
                0.15    0.03   17420/17420       insert [25]
                0.04    0.05   12448/17412       delete [33]
-----------------------------------------------
                                                 <spontaneous>
[18]     2.5    0.00    0.37                 __gnu_compiled_c [18]
                0.10    0.27   17462/17478       free [17]
-----------------------------------------------
                0.16    0.15  109468/109468      poly::contains(point &) [11]
[19]     2.1    0.16    0.15  109468         poly::get(int) [19]
                0.15    0.00  109468/109472      poly::ref(int) [26]
-----------------------------------------------
                0.02    0.00    4555/69327       point::operator-(point &) [38]
                0.25    0.00   64772/69327       ray::transform(xform &) [7]
[20]     1.9    0.27    0.00   69327         point::operator+=(point &) [20]
-----------------------------------------------
                0.00    0.00       1/19128       _findbuf [95]
                0.00    0.00       1/19128       _randomjunk [73]
                0.00    0.00       2/19128       on_exit [91]
                0.15    0.11   19124/19128       __builtin_new [22]
[21]     1.8    0.15    0.11   19128         malloc [21]
                0.08    0.00   14164/14164       demote [42]
                0.01    0.02    4964/17412       delete [33]
                0.00    0.00      15/15          morecore [87]
-----------------------------------------------
                                                 <spontaneous>
[22]     1.8    0.00    0.26                 __builtin_new [22]
                0.15    0.11   19124/19128       malloc [21]
-----------------------------------------------
                0.23    0.00  215358/215358      point::operator[](int) [14]
[23]     1.6    0.23    0.00  215358         point::ref(int) [23]
-----------------------------------------------
                0.01    0.00    3460/100618      point::mag(void) [86]
                0.21    0.00   97158/100618      sphere::intersect(ray, intersection &) [6]
[24]     1.5    0.22    0.00  100618         point::mag2(void) [24]
-----------------------------------------------
                0.15    0.03   17420/17420       free [17]
[25]     1.2    0.15    0.03   17420         insert [25]
                0.03    0.00   17420/17421       getfreehdr [60]
-----------------------------------------------
                0.00    0.00       4/109472      poly::set(int, point &) [99]
                0.15    0.00  109468/109472      poly::get(int) [19]
[26]     1.0    0.15    0.00  109472         poly::ref(int) [26]
-----------------------------------------------
                0.06    0.00    8695/21530       fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
                0.08    0.00   12835/21530       point::unit(void) [16]
[27]     1.0    0.14    0.00   21530         point::operator*=(float) [27]
-----------------------------------------------
                0.03    0.03    8695/21530       fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
                0.04    0.04   12835/21530       point::unit(void) [16]
[28]     1.0    0.07    0.07   21530         point::mag(void) [28]
                0.07    0.00   21530/21530       point::mag2(void) [46]
-----------------------------------------------
                0.01    0.00   10470/215358      board_texture::value(point &, point &, point &, model &, int) <cycle 1> [40]
                0.03    0.00   44560/215358      poly::intersect(ray, intersection &) [8]
                0.10    0.00  160328/215358      poly::contains(point &) [11]
[29]     0.9    0.13    0.00  215358         point::d(void) [29]
-----------------------------------------------
                0.05    0.08    2500/2500        render(object *, char *, int, int, int) [3]
[30]     0.9    0.05    0.08    2500         ppm_output::putpixel(int, int, point &) [30]
                0.04    0.00    7500/7500        output::gamma(float) [57]
                0.03    0.00    7500/7500        point::operator[](int) [61]
                0.01    0.00    7500/7500        point::d(void) [76]
                0.00    0.00    7500/7500        fputc [109]
-----------------------------------------------
                0.04    0.00    4140/12835       fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
                0.04    0.00    4140/12835       point::operator-(point &) [39]
                0.04    0.00    4555/12835       point::operator-(point &) [38]
[31]     0.8    0.12    0.00   12835         point::operator-(void) [31]
-----------------------------------------------
                0.12    0.00    4555/4555        trace(ray &, model &, int) <cycle 1> [5]
[32]     0.8    0.12    0.00    4555         ray::at(float) [32]
-----------------------------------------------
                0.01    0.02    4964/17412       malloc [21]
                0.04    0.05   12448/17412       free [17]
[33]     0.8    0.05    0.07   17412         delete [33]
                0.07    0.00   17412/17413       putfreehdr [47]
-----------------------------------------------
                0.11    0.00   48579/48579       sphere::intersect(ray, intersection &) [6]
[34]     0.8    0.11    0.00   48579         point::operator*(point &) [34]
-----------------------------------------------
                0.02    0.00    4140/21530       point::operator-(point &) [39]
                0.09    0.00   17390/21530       fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[35]     0.8    0.11    0.00   21530         point::operator+=(point &) [35]
-----------------------------------------------
                0.06    0.05    4555/4555        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[36]     0.7    0.06    0.05    4555         point::unit(void) [36]
                0.01    0.02    4555/12055       point::mag(void) [43]
                0.02    0.00    4555/12055       point::operator*=(float) [56]
-----------------------------------------------
                0.10    0.00    4140/4140        trace(ray &, model &, int) <cycle 1> [5]
[37]     0.7    0.10    0.00    4140         ray::at(float) [37]
-----------------------------------------------
                0.03    0.06    4555/4555        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[38]     0.6    0.03    0.06    4555         point::operator-(point &) [38]
                0.04    0.00    4555/12835       point::operator-(void) [31]
                0.02    0.00    4555/69327       point::operator+=(point &) [20]
-----------------------------------------------
                0.03    0.06    4140/4140        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[39]     0.6    0.03    0.06    4140         point::operator-(point &) [39]
                0.04    0.00    4140/12835       point::operator-(void) [31]
                0.02    0.00    4140/21530       point::operator+=(point &) [35]
-----------------------------------------------
                                5235             trace(ray &, model &, int) <cycle 1> [5]
[40]     0.6    0.06    0.03    5235         board_texture::value(point &, point &, point &, model &, int) <cycle 1> [40]
                0.01    0.01   10470/215358      point::operator[](int) [14]
                0.01    0.00   10470/215358      point::d(void) [29]
                                5235             fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
-----------------------------------------------
                0.00    0.00       3/48582       render(object *, char *, int, int, int) [3]
                0.08    0.00   48579/48582       trace(ray &, model &, int) <cycle 1> [5]
[41]     0.6    0.08    0.00   48582         object::next(void) [41]
-----------------------------------------------
                0.08    0.00   14164/14164       malloc [21]
[42]     0.6    0.08    0.00   14164         demote [42]
-----------------------------------------------
                0.01    0.02    4555/12055       point::unit(void) [36]
                0.01    0.04    7500/12055       render(object *, char *, int, int, int) [3]
[43]     0.6    0.02    0.06   12055         point::mag(void) [43]
                0.06    0.00   12055/12055       point::mag2(void) [50]
-----------------------------------------------
                0.08    0.00    5235/5235        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[44]     0.6    0.08    0.00    5235         point::operator*(float) [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.6    0.08    0.00                 floor [45]
-----------------------------------------------
                0.07    0.00   21530/21530       point::mag(void) [28]
[46]     0.5    0.07    0.00   21530         point::mag2(void) [46]
-----------------------------------------------
                0.00    0.00       1/17413       morecore [87]
                0.07    0.00   17412/17413       delete [33]
[47]     0.5    0.07    0.00   17413         putfreehdr [47]
-----------------------------------------------
                0.07    0.00    7500/7500        render(object *, char *, int, int, int) [3]
[48]     0.5    0.07    0.00    7500         point::operator*(float) [48]
-----------------------------------------------
                0.03    0.04    3460/3460        sphere::intersect(ray, intersection &) [6]
[49]     0.5    0.03    0.04    3460         point::operator-(point &) [49]
                0.03    0.00    3460/3460        point::operator-(void) [62]
                0.01    0.00    3460/3460        point::operator+=(point &) [80]
-----------------------------------------------
                0.06    0.00   12055/12055       point::mag(void) [43]
[50]     0.4    0.06    0.00   12055         point::mag2(void) [50]
-----------------------------------------------
                0.06    0.00    7496/7496        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[51]     0.4    0.06    0.00    7496         point::operator*(float) [51]
-----------------------------------------------
                0.06    0.00    3460/3460        sphere::intersect(ray, intersection &) [6]
[52]     0.4    0.06    0.00    3460         point::operator+(point &) [52]
-----------------------------------------------
                0.00    0.00      12/2512        generate(void) [88]
                0.03    0.03    2500/2512        render(object *, char *, int, int, int) [3]
[53]     0.4    0.03    0.03    2512         frandom [53]
                0.01    0.01    2512/2512        random [63]
                0.01    0.00    2512/2534        .udiv [74]
                0.00    0.00    2512/2519        .urem [101]
-----------------------------------------------
                0.03    0.00    3460/6920        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
                0.03    0.00    3460/6920        sphere::intersect(ray, intersection &) [6]
[54]     0.3    0.05    0.00    6920         point::operator*(float) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.3    0.05    0.00                 exp [55]
-----------------------------------------------
                0.02    0.00    4555/12055       point::unit(void) [36]
                0.02    0.00    7500/12055       render(object *, char *, int, int, int) [3]
[56]     0.3    0.04    0.00   12055         point::operator*=(float) [56]
-----------------------------------------------
                0.04    0.00    7500/7500        ppm_output::putpixel(int, int, point &) [30]
[57]     0.3    0.04    0.00    7500         output::gamma(float) [57]
-----------------------------------------------
                0.04    0.00    4555/4555        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[58]     0.3    0.04    0.00    4555         point::operator-(void) [58]
-----------------------------------------------
                0.04    0.00    3460/3460        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
[59]     0.3    0.04    0.00    3460         point::operator-(void) [59]
-----------------------------------------------
                0.00    0.00       1/17421       morecore [87]
                0.03    0.00   17420/17421       insert [25]
[60]     0.2    0.03    0.00   17421         getfreehdr [60]
                0.00    0.00       1/16          sbrk [120]
-----------------------------------------------
                0.03    0.00    7500/7500        ppm_output::putpixel(int, int, point &) [30]
[61]     0.2    0.03    0.00    7500         point::operator[](int) [61]
                0.00    0.00    7500/7500        point::ref(int) [110]
-----------------------------------------------
                0.03    0.00    3460/3460        point::operator-(point &) [49]
[62]     0.2    0.03    0.00    3460         point::operator-(void) [62]
-----------------------------------------------
                0.01    0.01    2512/2512        frandom [53]
[63]     0.1    0.01    0.01    2512         random [63]
                0.01    0.00    2512/2512        _randomjunk [73]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.1    0.02    0.00                 .rem [64]
-----------------------------------------------
                0.00    0.00       1/5236        point::operator-=(point &) [100]
                0.02    0.00    5235/5236        fast_texture::value(point &, point &, point &, model &, int) <cycle 1> [9]
